block_group,tract,county,state,area_block_group,medincome_block_group,race_total_block_group,race_white_block_group,race_black_block_group,race_asian_block_group,hisp_total_block_group,hisp_yes_block_group,hisp_yes_black_block_group,hisp_yes_white_block_group,hisp_yes_asian_block_group,hisp_no_black_block_group,hisp_no_white_block_group,hisp_no_asian_block_group,grip4_block_group_dens_m_km2
"060379201182",Census Tract 9201.18,Los Angeles County,California,2310377.45551536,121448,4389,3139,171,957,4389,1029,0,729,24,171,2237,801,4393.46261028965
"060376003042",Census Tract 6003.04,Los Angeles County,California,113875.579771098,55227,1186,491,322,38,1186,967,159,491,0,163,0,38,0
"060376505013",Census Tract 6505.01,Los Angeles County,California,386615.182830767,105500,817,675,0,123,817,204,0,172,0,0,456,116,4718.34928439994
"060377001015",Census Tract 7001.01,Los Angeles County,California,106330.829602585,76071,830,751,0,59,830,85,0,48,0,0,686,42,0
"060371891023",Census Tract 1891.02,Los Angeles County,California,94758.662845606,67269,954,744,33,169,954,85,0,25,0,1,699,124,2130.59195997208
"060374023032",Census Tract 4023.03,Los Angeles County,California,157182.295026426,41165,739,306,33,25,739,657,0,169,0,8,49,0,3056.55958743517
"060374027061",Census Tract 4027.06,Los Angeles County,California,437379.888753611,57955,1384,880,0,180,1384,1069,0,640,0,0,149,166,6346.75244757178
"060374034085",Census Tract 4034.08,Los Angeles County,California,816112.893336147,101779,1374,236,104,989,1374,219,0,134,0,104,53,941,4995.89491797136
"060374037221",Census Tract 4037.22,Los Angeles County,California,543966.806439032,54566,2307,1136,135,253,2307,1485,9,643,0,113,447,253,6189.51801050382
"060371190025",Census Tract 1190.02,Los Angeles County,California,285970.932796335,68450,1406,851,73,22,1406,1247,0,779,0,73,64,22,2092.72304124561
"060014433211",Census Tract 4433.21,Alameda County,California,91968.9792965238,130592,753,150,0,603,753,50,0,50,0,0,100,603,5155.4941088009
"060470021002",Census Tract 21,Merced County,California,278711626.293897,48864,620,348,5,15,620,401,0,149,0,5,199,15,17.4323174731703
"060470025002",Census Tract 25,Merced County,California,46354439.9293935,60938,1338,945,13,200,1338,612,0,339,0,13,513,194,168.04780581024
"060371863022",Census Tract 1863.02,Los Angeles County,California,663882.604323931,80759,2201,1204,27,499,2201,1152,16,537,38,11,545,371,5345.35063303431
"060371871011",Census Tract 1871.01,Los Angeles County,California,343649.230207453,71314,1041,603,40,257,1041,372,0,128,0,27,413,203,2750.8523867944
"060371892022",Census Tract 1892.02,Los Angeles County,California,175590.472650187,101920,746,640,0,60,746,108,0,40,0,0,578,38,432.271512698055
"060375018041",Census Tract 5018.04,Los Angeles County,California,356814.963752395,47266,1543,549,43,28,1543,1267,21,321,0,22,206,15,1627.772989869
"060374315013",Census Tract 4315.01,Los Angeles County,California,376754.822011107,54141,2106,467,119,646,2106,1037,0,151,0,119,299,631,1972.25713109408
"060371192023",Census Tract 1192.02,Los Angeles County,California,291443.450481184,71161,1022,376,0,47,1022,969,0,354,16,0,22,31,2152.33099938801
"060371218011",Census Tract 1218.01,Los Angeles County,California,323907.96634817,27449,1927,879,83,110,1927,1405,0,515,0,83,338,101,2080.22839962022
"060371239011",Census Tract 1239.01,Los Angeles County,California,324400.839316361,36553,3083,1855,206,178,3083,2018,0,1159,0,206,696,163,0
"060371864042",Census Tract 1864.04,Los Angeles County,California,168193.073893152,63194,904,459,0,187,904,619,0,332,0,0,110,170,3795.82127217539
"060952501061",Census Tract 2501.06,Solano County,California,16978090.9757997,157212,2018,807,224,1142,2018,91,0,39,3,167,636,996,624.097545540072
"060014418003",Census Tract 4418,Alameda County,California,653894.187242566,121490,2296,941,106,1043,2296,318,0,121,0,87,772,1014,6903.74165412124
"060014419241",Census Tract 4419.24,Alameda County,California,623673.66190688,169888,2327,323,48,1946,2327,32,0,32,0,48,267,1917,8683.32297234896
"060014414014",Census Tract 4414.01,Alameda County,California,694807.301383398,142708,3678,603,421,2377,3678,385,23,81,17,398,420,2275,10447.4848017261
"060014419252",Census Tract 4419.25,Alameda County,California,2766139.74701854,115100,3382,957,302,2164,3382,182,0,60,0,288,721,1974,1711.68458540139
"060014419272",Census Tract 4419.27,Alameda County,California,467407.983814542,96607,1432,295,33,1159,1432,20,0,0,0,10,188,1075,6616.79495984598
"060470006033",Census Tract 6.03,Merced County,California,1083994.96814228,66250,1255,729,10,53,1255,904,0,399,0,10,322,19,5261.84415666912
"061150402001",Census Tract 402,Yuba County,California,733669.444309183,73226,780,719,115,32,780,174,0,174,0,29,456,32,10585.6315622254
"061150401003",Census Tract 401,Yuba County,California,350440.083407533,40242,1271,1185,41,56,1271,271,0,266,0,36,815,0,8592.821679097
"061150410003",Census Tract 410,Yuba County,California,69120471.3889798,86563,1354,1168,0,86,1354,166,0,25,0,0,1129,42,0
"061150407001",Census Tract 407,Yuba County,California,9670051.64350916,92956,1958,1323,153,306,1958,612,0,436,0,106,876,306,1190.38541423048
"061150405001",Census Tract 405,Yuba County,California,867397.748216937,45976,1108,835,64,49,1108,659,0,420,0,0,329,0,6903.59301749641
"061150406004",Census Tract 406,Yuba County,California,1018633.31109183,32176,510,271,105,5,510,245,0,13,0,0,253,0,2787.91141414648
"060375361031",Census Tract 5361.03,Los Angeles County,California,173973.79491537,47330,1006,506,0,8,1006,962,0,451,0,0,27,8,7908.80149279165
"060375361044",Census Tract 5361.04,Los Angeles County,California,98362.4645859849,43542,549,373,0,0,549,539,0,363,0,0,10,0,0
"060376030053",Census Tract 6030.05,Los Angeles County,California,194174.494977723,66719,1669,204,804,316,1669,534,0,123,0,792,15,316,1736.6252674726
"060376030061",Census Tract 6030.06,Los Angeles County,California,507369.337495595,43750,1436,370,193,735,1436,390,0,167,0,156,135,709,3537.33490301943
"060376038022",Census Tract 6038.02,Los Angeles County,California,319476.564783298,65063,1363,686,0,175,1363,830,0,473,0,0,174,162,1410.32978187412
"060376200022",Census Tract 6200.02,Los Angeles County,California,645549.113723154,156198,1340,932,8,400,1340,167,0,81,0,0,773,341,4707.72803909001
"060376203052",Census Tract 6203.05,Los Angeles County,California,372542.588017509,231806,1595,1184,0,431,1595,87,0,63,0,0,1041,402,8871.77294031348
"060376203056",Census Tract 6203.05,Los Angeles County,California,192292.15141402,,527,487,0,40,527,12,0,12,0,0,475,40,11789.7681018349
"060374303021",Census Tract 4303.02,Los Angeles County,California,322101.063117012,60739,1576,1146,100,107,1576,1073,100,631,0,0,396,54,2527.16700149347
"060374306003",Census Tract 4306,Los Angeles County,California,982543.953143792,113542,368,140,0,228,368,0,0,0,0,0,140,228,4317.95559035728
"060374333051",Census Tract 4333.05,Los Angeles County,California,315909.418852238,40147,3185,1361,18,788,3185,2356,0,1325,0,18,23,775,990.786887577207
"060374340031",Census Tract 4340.03,Los Angeles County,California,381433.096499179,48036,1622,1087,11,80,1622,1487,11,1032,0,0,55,80,2060.65531695714
"060374340041",Census Tract 4340.04,Los Angeles County,California,431295.378950422,63793,1380,936,0,45,1380,1303,0,879,0,0,32,45,3336.78132764664
"060375515011",Census Tract 5515.01,Los Angeles County,California,1203739.18250905,58179,2994,1866,325,226,2994,2058,7,1351,36,270,405,190,2563.36471822902
"060375515012",Census Tract 5515.01,Los Angeles County,California,271537.870175099,109342,1706,1315,0,33,1706,1334,0,946,0,0,330,11,4734.10655709449
"060375535041",Census Tract 5535.04,Los Angeles County,California,230620.030628999,56708,1830,903,169,17,1830,1588,0,803,8,151,91,0,1158.36696511374
"060375541052",Census Tract 5541.05,Los Angeles County,California,158239.167367938,31136,2057,705,292,137,2057,1157,0,187,0,292,471,132,0
"060375543013",Census Tract 5543.01,Los Angeles County,California,163659.714470404,49250,891,231,239,112,891,434,0,125,0,239,106,112,1623.76576239905
"060650452122",Census Tract 452.12,Riverside County,California,1199412.37795357,52692,714,682,0,32,714,77,0,57,20,0,610,12,5139.56262812504
"060372396022",Census Tract 2396.02,Los Angeles County,California,204021.241309298,34605,1941,691,498,0,1941,1482,79,663,0,419,28,0,5737.1729094309
"060374086263",Census Tract 4086.26,Los Angeles County,California,1772171.99728209,108819,1996,614,0,1312,1996,550,0,480,0,0,134,1312,2304.45375982394
"060374335042",Census Tract 4335.04,Los Angeles County,California,217967.236162395,47500,1146,113,36,408,1146,670,0,81,0,36,32,408,3091.01662492352
"060373007021",Census Tract 3007.02,Los Angeles County,California,1950593.50667999,105536,2712,2420,0,308,2712,109,0,94,15,0,2297,277,7324.48472935756
